target,split,logloss,method,tau,power,max_days,shrink
Q1,interleaved_offset1,0.669216613585751,exp,7.0,1.0,,0.07
Q1,interleaved_offset2,0.662956461465306,exp,7.0,1.0,,0.07
Q1,late7,0.7741514879078671,exp,7.0,1.0,,0.07
Q1,interleaved_offset1,0.6682201781184611,exp,7.0,1.0,,0.12
Q1,interleaved_offset2,0.6580528671198445,exp,7.0,1.0,,0.12
Q1,late7,0.7618202762423673,exp,7.0,1.0,,0.12
Q1,interleaved_offset1,0.7364847016762265,exp,10.0,1.0,14.0,0.0
Q1,interleaved_offset2,0.7145255646228172,exp,10.0,1.0,14.0,0.0
Q1,late7,1.3792518165167704,exp,10.0,1.0,14.0,0.0
Q1,interleaved_offset1,0.6929534518842309,exp,10.0,1.0,14.0,0.03
Q1,interleaved_offset2,0.672618942018042,exp,10.0,1.0,14.0,0.03
Q1,late7,0.9470953324867761,exp,10.0,1.0,14.0,0.03
Q1,interleaved_offset1,0.6856033029490802,exp,10.0,1.0,14.0,0.07
Q1,interleaved_offset2,0.6649382815596117,exp,10.0,1.0,14.0,0.07
Q1,late7,0.8906391638635415,exp,10.0,1.0,14.0,0.07
Q1,interleaved_offset1,0.6808597071089021,exp,10.0,1.0,14.0,0.12
Q1,interleaved_offset2,0.6594669505123407,exp,10.0,1.0,14.0,0.12
Q1,late7,0.8535283382885184,exp,10.0,1.0,14.0,0.12
Q1,interleaved_offset1,0.6725718592444735,exp,10.0,1.0,21.0,0.0
Q1,interleaved_offset2,0.7135614011528808,exp,10.0,1.0,21.0,0.0
Q1,late7,0.9301168595518505,exp,10.0,1.0,21.0,0.0
Q1,interleaved_offset1,0.671902117516938,exp,10.0,1.0,21.0,0.03
Q1,interleaved_offset2,0.6721418598387577,exp,10.0,1.0,21.0,0.03
Q1,late7,0.7997023801833572,exp,10.0,1.0,21.0,0.03
Q1,interleaved_offset1,0.6712175834889501,exp,10.0,1.0,21.0,0.07
Q1,interleaved_offset2,0.665029244336326,exp,10.0,1.0,21.0,0.07
Q1,late7,0.779824173629888,exp,10.0,1.0,21.0,0.07
Q1,interleaved_offset1,0.670660162115694,exp,10.0,1.0,21.0,0.12
Q1,interleaved_offset2,0.6601552600616051,exp,10.0,1.0,21.0,0.12
Q1,late7,0.7662078637787693,exp,10.0,1.0,21.0,0.12
Q1,interleaved_offset1,0.6707194298984356,exp,10.0,1.0,35.0,0.0
Q1,interleaved_offset2,0.7074094373517782,exp,10.0,1.0,35.0,0.0
Q1,late7,0.9301928726571573,exp,10.0,1.0,35.0,0.0
Q1,interleaved_offset1,0.6705368273826037,exp,10.0,1.0,35.0,0.03
Q1,interleaved_offset2,0.6664601928661869,exp,10.0,1.0,35.0,0.03
Q1,late7,0.7998465899178245,exp,10.0,1.0,35.0,0.03
Q1,interleaved_offset1,0.6704077801502923,exp,10.0,1.0,35.0,0.07
Q1,interleaved_offset2,0.6599296668691985,exp,10.0,1.0,35.0,0.07
Q1,late7,0.7800527505761914,exp,10.0,1.0,35.0,0.07
Q1,interleaved_offset1,0.6704214237776994,exp,10.0,1.0,35.0,0.12
Q1,interleaved_offset2,0.655718702468434,exp,10.0,1.0,35.0,0.12
Q1,late7,0.7665312956822444,exp,10.0,1.0,35.0,0.12
Q1,interleaved_offset1,0.6701510222260554,exp,10.0,1.0,56.0,0.0
Q1,interleaved_offset2,0.6669320621149293,exp,10.0,1.0,56.0,0.0
Q1,late7,0.7799710830296757,exp,10.0,1.0,56.0,0.0
Q1,interleaved_offset1,0.6700535579301216,exp,10.0,1.0,56.0,0.03
Q1,interleaved_offset2,0.6616081230605739,exp,10.0,1.0,56.0,0.03
Q1,late7,0.7713807947736738,exp,10.0,1.0,56.0,0.03
Q1,interleaved_offset1,0.6700275610636263,exp,10.0,1.0,56.0,0.07
Q1,interleaved_offset2,0.6576013671040144,exp,10.0,1.0,56.0,0.07
Q1,late7,0.7628794551034378,exp,10.0,1.0,56.0,0.07
Q1,interleaved_offset1,0.6701547805706036,exp,10.0,1.0,56.0,0.12
Q1,interleaved_offset2,0.654432270787425,exp,10.0,1.0,56.0,0.12
Q1,late7,0.7547778741075948,exp,10.0,1.0,56.0,0.12
Q1,interleaved_offset1,0.670123433347318,exp,10.0,1.0,,0.0
Q1,interleaved_offset2,0.6647904936486828,exp,10.0,1.0,,0.0
Q1,late7,0.7766728370047156,exp,10.0,1.0,,0.0
Q1,interleaved_offset1,0.6700278275152939,exp,10.0,1.0,,0.03
Q1,interleaved_offset2,0.6604700373644048,exp,10.0,1.0,,0.03
Q1,late7,0.7689102010049371,exp,10.0,1.0,,0.03
Q1,interleaved_offset1,0.6700042140635019,exp,10.0,1.0,,0.07
Q1,interleaved_offset2,0.6569116508692096,exp,10.0,1.0,,0.07
