target,submission_strategy,model_name,threshold,accuracy,f1,positive_rate,prior_gap,fold
Q2,blend_catboost_rule_0.5,catboost,0.2,0.6752136752136753,0.7934782608695653,0.9401709401709402,0.40263340263340264,last_quarter_by_subject
Q2,blend_catboost_rule_0.75,catboost,0.3,0.6752136752136753,0.7934782608695653,0.9401709401709402,0.40263340263340264,last_quarter_by_subject
Q2,meta_rule_extra_trees,extra_trees,0.35,0.6666666666666666,0.7914438502673796,0.9658119658119658,0.4282744282744283,last_quarter_by_subject
Q2,meta_rule_lightgbm,lightgbm,0.4,0.6837606837606838,0.7885714285714286,0.8632478632478633,0.32571032571032577,last_quarter_by_subject
Q2,meta_rule_catboost,catboost,0.4,0.6837606837606838,0.7932960893854749,0.8974358974358975,0.35989835989835994,last_quarter_by_subject
Q2,meta_rule_hist_gradient_boosting,hist_gradient_boosting,0.35,0.7008547008547008,0.7953216374269005,0.8290598290598291,0.2915222915222916,last_quarter_by_subject
Q3,rule_subject_strategy_tuned,rule,0.05,0.6581196581196581,0.7468354430379747,0.6923076923076923,0.11272811272811267,last_quarter_by_subject
Q3,model_logistic_regression,logistic_regression,0.1,0.6923076923076923,0.7906976744186047,0.811965811965812,0.23238623238623235,last_quarter_by_subject
Q3,blend_logistic_regression_rule_0.25,logistic_regression,0.05,0.7094017094017094,0.8131868131868132,0.8974358974358975,0.31785631785631785,last_quarter_by_subject
Q3,blend_logistic_regression_rule_0.5,logistic_regression,0.05,0.7094017094017094,0.8172043010752688,0.9316239316239316,0.352044352044352,last_quarter_by_subject
Q3,blend_logistic_regression_rule_0.75,logistic_regression,0.15,0.7094017094017094,0.8131868131868132,0.8974358974358975,0.31785631785631785,last_quarter_by_subject
Q3,model_linear_svc,linear_svc,0.05,0.6581196581196581,0.7894736842105263,0.9658119658119658,0.3862323862323862,last_quarter_by_subject
Q3,blend_linear_svc_rule_0.25,linear_svc,0.1,0.717948717948718,0.819672131147541,0.905982905982906,0.32640332640332637,last_quarter_by_subject
Q3,blend_linear_svc_rule_0.5,linear_svc,0.15,0.717948717948718,0.8216216216216217,0.9230769230769231,0.3434973434973435,last_quarter_by_subject
