fold,target,submission_strategy,model_name,shrink_alpha,logloss
last_quarter_by_subject,Q1,model_hist_gradient_boosting,hist_gradient_boosting,0.15,0.7007164842929396
last_quarter_by_subject,Q1,model_hist_gradient_boosting,hist_gradient_boosting,0.25,0.7018875918927606
last_quarter_by_subject,Q1,model_hist_gradient_boosting,hist_gradient_boosting,0.35,0.7048110523390664
last_quarter_by_subject,Q1,model_hist_gradient_boosting,hist_gradient_boosting,0.5,0.7127563873352774
last_quarter_by_subject,Q1,model_hist_gradient_boosting,hist_gradient_boosting,0.75,0.7374796793233208
last_quarter_by_subject,Q1,model_hist_gradient_boosting,hist_gradient_boosting,1.0,0.7843229600483296
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.25,hist_gradient_boosting,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.25,hist_gradient_boosting,0.15,0.7252600015624056
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.25,hist_gradient_boosting,0.25,0.7490689960865355
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.25,hist_gradient_boosting,0.35,0.7802796388662806
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.25,hist_gradient_boosting,0.5,0.8434161375832439
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.25,hist_gradient_boosting,0.75,1.0114046321027872
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.25,hist_gradient_boosting,1.0,1.3682676369038755
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.5,hist_gradient_boosting,0.0,0.7021005506647676
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.5,hist_gradient_boosting,0.15,0.7156732863801869
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.5,hist_gradient_boosting,0.25,0.729309315734343
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.5,hist_gradient_boosting,0.35,0.7468683241697862
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.5,hist_gradient_boosting,0.5,0.7814508054779354
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.5,hist_gradient_boosting,0.75,0.8677726876064744
last_quarter_by_subject,Q1,blend_hist_gradient_boosting_rule_0.5,hist_gradient_boosting,1.0,1.021900082995029
