target,strategy,fold,accuracy,f1,positive_rate
S3,leave_subject_out,id10,0.42424242424242425,0.5128205128205128,0.696969696969697
S3,temporal,last_quarter_by_subject,0.5897435897435898,0.6065573770491803,0.4188034188034188
S4,leave_subject_out,id01,0.4146341463414634,0.4285714285714286,0.5365853658536586
S4,leave_subject_out,id02,0.3958333333333333,0.32558139534883723,0.14583333333333334
S4,leave_subject_out,id03,0.2727272727272727,0.25,0.8181818181818182
S4,leave_subject_out,id04,0.47368421052631576,0.25000000000000006,0.19298245614035087
S4,leave_subject_out,id05,0.5681818181818182,0.6274509803921569,0.75
S4,leave_subject_out,id06,0.4791666666666667,0.6376811594202899,0.5833333333333334
S4,leave_subject_out,id07,0.42857142857142855,0.5882352941176471,0.9183673469387755
S4,leave_subject_out,id08,0.4642857142857143,0.605263157894737,0.75
S4,leave_subject_out,id09,0.4146341463414634,0.4,0.3902439024390244
S4,leave_subject_out,id10,0.45454545454545453,0.4705882352941177,0.36363636363636365
S4,temporal,last_quarter_by_subject,0.5384615384615384,0.5178571428571428,0.4358974358974359
